"commune","year","precipitation","month"
"NATITINGOU_PEPORIYAKOU","2016","140.9","6"
"PARAKOU_AEROPORT","2016","91.2","6"
"SAVE","2016","91.2","6"
"BOHICON","2016","266","6"
"COTONOU_AEROPORT","2016","234.3","6"
"KANDI_AEROPORT","2016","123.1","7"
"NATITINGOU_PEPORIYAKOU","2016","84.8","7"
"PARAKOU_AEROPORT","2016","200.5","7"
"SAVE","2016","129.5","7"
"BOHICON","2016","122.2","7"
"COTONOU_AEROPORT","2016","30.6","7"
"KANDI_AEROPORT","2016","189.5","8"
"NATITINGOU_PEPORIYAKOU","2016","305.3","8"
"PARAKOU_AEROPORT","2016","99.8","8"
"SAVE","2016","210.9","8"
"BOHICON","2016","64","8"
"COTONOU_AEROPORT","2016","45.9","8"
"KANDI_AEROPORT","2016","337.3","9"
"NATITINGOU_PEPORIYAKOU","2016","292.1","9"
"PARAKOU_AEROPORT","2016","176.1","9"
"SAVE","2016","71.2","9"
"BOHICON","2016","258.5","9"
"COTONOU_AEROPORT","2016","73.6","9"
"KANDI_AEROPORT","2016","12.2","10"
"NATITINGOU_PEPORIYAKOU","2016","58.2","10"
"PARAKOU_AEROPORT","2016","70.5","10"
"SAVE","2016","103.7","10"
"BOHICON","2016","147.2","10"
"COTONOU_AEROPORT","2016","281.7","10"
"KANDI_AEROPORT","2016","0","11"
"NATITINGOU_PEPORIYAKOU","2016","0","11"
"PARAKOU_AEROPORT","2016","0","11"
"SAVE","2016","0","11"
"BOHICON","2016","2.8","11"
"COTONOU_AEROPORT","2016","58.1","11"
"KANDI_AEROPORT","2016","0","12"
"NATITINGOU_PEPORIYAKOU","2016","0","12"
"PARAKOU_AEROPORT","2016","0.3","12"
"SAVE","2016","0","12"
"BOHICON","2016","38.8","12"
"COTONOU_AEROPORT","2016","0.1","12"
"KANDI_AEROPORT","2017","0","1"
"NATITINGOU_PEPORIYAKOU","2017","0","1"
"PARAKOU_AEROPORT","2017","0.8","1"
"SAVE","2017","19.4","1"
"BOHICON","2017","9.2","1"
"COTONOU_AEROPORT","2017","8.5","1"
"KANDI_AEROPORT","2017","0","2"
"NATITINGOU_PEPORIYAKOU","2017","0","2"
"PARAKOU_AEROPORT","2017","0","2"
"SAVE","2017","0","2"
"BOHICON","2017","6.4","2"
"COTONOU_AEROPORT","2017","0","2"
"KANDI_AEROPORT","2017","0","3"
"NATITINGOU_PEPORIYAKOU","2017","6.3","3"
"PARAKOU_AEROPORT","2017","2","3"
"SAVE","2017","50.6","3"
"BOHICON","2017","65.5","3"
"COTONOU_AEROPORT","2017","67.3","3"
"KANDI_AEROPORT","2017","7.1","4"
"NATITINGOU_PEPORIYAKOU","2017","38","4"
"PARAKOU_AEROPORT","2017","107.8","4"
"SAVE","2017","14.1","4"
"BOHICON","2017","66","4"
"COTONOU_AEROPORT","2017","69.8","4"
"KANDI_AEROPORT","2017","91.8","5"
"NATITINGOU_PEPORIYAKOU","2017","65.7","5"
"PARAKOU_AEROPORT","2017","124.8","5"
"SAVE","2017","143.9","5"
"BOHICON","2017","170.5","5"
"COTONOU_AEROPORT","2017","178.3","5"
"KANDI_AEROPORT","2017","225.4","6"
"NATITINGOU_PEPORIYAKOU","2017","191.6","6"
"PARAKOU_AEROPORT","2017","366.2","6"
"SAVE","2017","228.7","6"
"BOHICON","2017","140.5","6"
"COTONOU_AEROPORT","2017","472.6","6"
"KANDI_AEROPORT","2017","169.1","7"
"NATITINGOU_PEPORIYAKOU","2017","223.1","7"
"PARAKOU_AEROPORT","2017","278.8","7"
"SAVE","2017","163.8","7"
"BOHICON","2017","73.4","7"
"COTONOU_AEROPORT","2017","192.9","7"
"KANDI_AEROPORT","2017","282.8","8"
"NATITINGOU_PEPORIYAKOU","2017","255.5","8"
"PARAKOU_AEROPORT","2017","300.8","8"
"SAVE","2017","155.4","8"
"BOHICON","2017","115.1","8"
"COTONOU_AEROPORT","2017","96.3","8"
"KANDI_AEROPORT","2017","256.5","9"
"NATITINGOU_PEPORIYAKOU","2017","241.9","9"
"PARAKOU_AEROPORT","2017","155.1","9"
"SAVE","2017","80.8","9"
"BOHICON","2017","55.5","9"
"COTONOU_AEROPORT","2017","101.3","9"
"KANDI_AEROPORT","2017","36","10"
"NATITINGOU_PEPORIYAKOU","2017","114.5","10"
"PARAKOU_AEROPORT","2017","39.5","10"
"SAVE","2017","30.2","10"
"BOHICON","2017","71.9","10"
"COTONOU_AEROPORT","2017","20.5","10"
"KANDI_AEROPORT","2017","0","11"
"NATITINGOU_PEPORIYAKOU","2017","20.5","11"
"PARAKOU_AEROPORT","2017","0.9","11"
"SAVE","2017","0.4","11"
"BOHICON","2017","59.4","11"
"COTONOU_AEROPORT","2017","47","11"
"KANDI_AEROPORT","2017","0","12"
"NATITINGOU_PEPORIYAKOU","2017","0.1","12"
"PARAKOU_AEROPORT","2017","0","12"
"SAVE","2017","0","12"
"BOHICON","2017","0","12"
"COTONOU_AEROPORT","2017","15.2","12"
"KANDI_AEROPORT","2018","0","1"
"NATITINGOU_PEPORIYAKOU","2018","0","1"
"PARAKOU_AEROPORT","2018","0","1"
"SAVE","2018","0","1"
"BOHICON","2018","0","1"
"COTONOU_AEROPORT","2018","0","1"
"KANDI_AEROPORT","2018","0.4","2"
"NATITINGOU_PEPORIYAKOU","2018","3.3","2"
"PARAKOU_AEROPORT","2018","12","2"
"SAVE","2018","56.4","2"
"BOHICON","2018","113.6","2"
"COTONOU_AEROPORT","2018","42.1","2"
"KANDI_AEROPORT","2018","49.1","3"
"NATITINGOU_PEPORIYAKOU","2018","19.3","3"
"PARAKOU_AEROPORT","2018","11.6","3"
"SAVE","2018","20.8","3"
"BOHICON","2018","113.6","3"
"COTONOU_AEROPORT","2018","120.9","3"
"KANDI_AEROPORT","2018","7.4","4"
"NATITINGOU_PEPORIYAKOU","2018","54.2","4"
"PARAKOU_AEROPORT","2018","35.7","4"
"SAVE","2018","81","4"
"BOHICON","2018","85.5","4"
"COTONOU_AEROPORT","2018","58.1","4"
"KANDI_AEROPORT","2018","155.1","5"
"NATITINGOU_PEPORIYAKOU","2018","137","5"
"PARAKOU_AEROPORT","2018","75.6","5"
"SAVE","2018","71.9","5"
"BOHICON","2018","179.1","5"
"COTONOU_AEROPORT","2018","290.5","5"
"KANDI_AEROPORT","2018","216.2","6"
"NATITINGOU_PEPORIYAKOU","2018","160.8","6"
"PARAKOU_AEROPORT","2018","145.4","6"
"SAVE","2018","207.2","6"
"BOHICON","2018","138.2","6"
"COTONOU_AEROPORT","2018","158.3","6"
"KANDI_AEROPORT","2018","247.6","7"
"NATITINGOU_PEPORIYAKOU","2018","117.5","7"
"PARAKOU_AEROPORT","2018","105.5","7"
"SAVE","2018","30.1","7"
"BOHICON","2018","128.5","7"
"COTONOU_AEROPORT","2018","151.3","7"
"KANDI_AEROPORT","2018","428.1","8"
"NATITINGOU_PEPORIYAKOU","2018","317.1","8"
"PARAKOU_AEROPORT","2018","387","8"
"SAVE","2018","314.5","8"
"BOHICON","2018","82.5","8"
"COTONOU_AEROPORT","2018","88.6","8"
"KANDI_AEROPORT","2018","190.8","9"
"NATITINGOU_PEPORIYAKOU","2018","149","9"
"PARAKOU_AEROPORT","2018","184.2","9"
"SAVE","2018","236.8","9"
"BOHICON","2018","183.2","9"
"COTONOU_AEROPORT","2018","290.3","9"
"KANDI_AEROPORT","2018","33.8","10"
"NATITINGOU_PEPORIYAKOU","2018","94.8","10"
"PARAKOU_AEROPORT","2018","123.8","10"
"SAVE","2018","146","10"
"BOHICON","2018","138","10"
"COTONOU_AEROPORT","2018","169.1","10"
"KANDI_AEROPORT","2018","0","11"
