"commune","year","tmin","month"
"KANDI_AEROPORT","2016","19.9","2"
"NATITINGOU","2016","18.2","2"
"PARAKOU_AEROPORT","2016","22.2","2"
"SAVE","2016","24.8","2"
"BOHICON","2016","25.4","2"
"COTONOU_AEROPORT","2016","26.6","2"
"KANDI_AEROPORT","2016","25.4","3"
"NATITINGOU","2016","23.6","3"
"PARAKOU_AEROPORT","2016","24.7","3"
"SAVE","2016","25.3","3"
"BOHICON","2016","25.5","3"
"COTONOU_AEROPORT","2016","27.2","3"
"KANDI_AEROPORT","2016","26.2","4"
"NATITINGOU","2016","24.6","4"
"PARAKOU_AEROPORT","2016","23.8","4"
"SAVE","2016","24.7","4"
"BOHICON","2016","25","4"
"COTONOU_AEROPORT","2016","27.3","4"
"KANDI_AEROPORT","2016","24.9","5"
"NATITINGOU","2016","24","5"
"PARAKOU_AEROPORT","2016","23.1","5"
"SAVE","2016","24.1","5"
"BOHICON","2016","24.5","5"
"COTONOU_AEROPORT","2016","25.8","5"
"KANDI_AEROPORT","2016","23.5","6"
"NATITINGOU","2016","22.5","6"
"PARAKOU_AEROPORT","2016","22.2","6"
"SAVE","2016","22.9","6"
"BOHICON","2016","23.1","6"
"COTONOU_AEROPORT","2016","24.7","6"
"KANDI_AEROPORT","2016","23","7"
"NATITINGOU","2016","21.7","7"
"PARAKOU_AEROPORT","2016","21.9","7"
"SAVE","2016","22.9","7"
"BOHICON","2016","23.2","7"
"COTONOU_AEROPORT","2016","25","7"
"KANDI_AEROPORT","2016","22.5","8"
"NATITINGOU","2016","21.8","8"
"PARAKOU_AEROPORT","2016","21.9","8"
"SAVE","2016","22.4","8"
"BOHICON","2016","22.9","8"
"COTONOU_AEROPORT","2016","24.7","8"
"KANDI_AEROPORT","2016","21.9","9"
"NATITINGOU","2016","21.3","9"
"PARAKOU_AEROPORT","2016","21.8","9"
"SAVE","2016","22.7","9"
"BOHICON","2016","23.3","9"
"COTONOU_AEROPORT","2016","25","9"
"KANDI_AEROPORT","2016","23","10"
"NATITINGOU","2016","21.5","10"
"PARAKOU_AEROPORT","2016","22.3","10"
"SAVE","2016","22.7","10"
"BOHICON","2016","23.8","10"
"COTONOU_AEROPORT","2016","24.9","10"
"KANDI_AEROPORT","2016","20.2","11"
"NATITINGOU","2016","18.5","11"
"PARAKOU_AEROPORT","2016","22.4","11"
"SAVE","2016","23.6","11"
"BOHICON","2016","24.7","11"
"COTONOU_AEROPORT","2016","26.1","11"
"KANDI_AEROPORT","2016","18.7","12"
"NATITINGOU","2016","16.8","12"
"PARAKOU_AEROPORT","2016","21.2","12"
"SAVE","2016","22.8","12"
"BOHICON","2016","24.2","12"
"COTONOU_AEROPORT","2016","25.7","12"
"KANDI_AEROPORT","2017","17","1"
"NATITINGOU","2017","15.8","1"
"PARAKOU_AEROPORT","2017","20.4","1"
"SAVE","2017","22.5","1"
"BOHICON","2017","23.8","1"
"COTONOU_AEROPORT","2017","25.5","1"
"KANDI_AEROPORT","2017","20.4","2"
"NATITINGOU","2017","18.8","2"
"PARAKOU_AEROPORT","2017","22.4","2"
"SAVE","2017","24.4","2"
"BOHICON","2017","25.3","2"
"COTONOU_AEROPORT","2017","26.7","2"
"KANDI_AEROPORT","2017","24","3"
"NATITINGOU","2017","21.8","3"
"PARAKOU_AEROPORT","2017","24.3","3"
"SAVE","2017","24.6","3"
"BOHICON","2017","25.5","3"
"COTONOU_AEROPORT","2017","27.4","3"
"KANDI_AEROPORT","2017","27.3","4"
"NATITINGOU","2017","25","4"
"PARAKOU_AEROPORT","2017","24.1","4"
"SAVE","2017","24.5","4"
"BOHICON","2017","25.2","4"
"COTONOU_AEROPORT","2017","26.9","4"
"KANDI_AEROPORT","2017","25.6","5"
"NATITINGOU","2017","23.7","5"
"PARAKOU_AEROPORT","2017","22.8","5"
"SAVE","2017","23.4","5"
"BOHICON","2017","24.3","5"
"COTONOU_AEROPORT","2017","25.5","5"
"KANDI_AEROPORT","2017","23.4","6"
"NATITINGOU","2017","22.3","6"
"PARAKOU_AEROPORT","2017","22.3","6"
"SAVE","2017","23","6"
"BOHICON","2017","24","6"
"COTONOU_AEROPORT","2017","24.7","6"
"KANDI_AEROPORT","2017","22.5","7"
"NATITINGOU","2017","21.9","7"
"PARAKOU_AEROPORT","2017","22.2","7"
"SAVE","2017","22.8","7"
"BOHICON","2017","23.3","7"
"COTONOU_AEROPORT","2017","25","7"
"KANDI_AEROPORT","2017","22.1","8"
"NATITINGOU","2017","21.7","8"
"PARAKOU_AEROPORT","2017","21.6","8"
"SAVE","2017","21.8","8"
"BOHICON","2017","22.7","8"
"COTONOU_AEROPORT","2017","24.1","8"
"KANDI_AEROPORT","2017","22.4","9"
"NATITINGOU","2017","21.6","9"
"PARAKOU_AEROPORT","2017","21.6","9"
"SAVE","2017","22.3","9"
"BOHICON","2017","23.1","9"
"COTONOU_AEROPORT","2017","24.5","9"
"KANDI_AEROPORT","2017","21.3","10"
"NATITINGOU","2017","20","10"
"PARAKOU_AEROPORT","2017","22.2","10"
"SAVE","2017","23","10"
"BOHICON","2017","24.1","10"
"COTONOU_AEROPORT","2017","25.5","10"
"KANDI_AEROPORT","2017","18.7","11"
"NATITINGOU","2017","17.4","11"
"PARAKOU_AEROPORT","2017","21.6","11"
"SAVE","2017","23","11"
"BOHICON","2017","24.2","11"
"COTONOU_AEROPORT","2017","25.7","11"
"KANDI_AEROPORT","2017","17.1","12"
"NATITINGOU","2017","16.1","12"
"PARAKOU_AEROPORT","2017","20.7","12"
"SAVE","2017","22.5","12"
"BOHICON","2017","23.8","12"
"COTONOU_AEROPORT","2017","25.3","12"
"KANDI_AEROPORT","2018","15","1"
"NATITINGOU","2018","14.9","1"
"PARAKOU_AEROPORT","2018","19.1","1"
"SAVE","2018","21.2","1"
"BOHICON","2018","22.6","1"
"COTONOU_AEROPORT","2018","24.2","1"
"KANDI_AEROPORT","2018","21.2","2"
"NATITINGOU","2018","20.1","2"
"PARAKOU_AEROPORT","2018","23","2"
"SAVE","2018","24.2","2"
"BOHICON","2018","24.8","2"
"COTONOU_AEROPORT","2018","26","2"
"KANDI_AEROPORT","2018","25.2","3"
"NATITINGOU","2018","23.2","3"
"PARAKOU_AEROPORT","2018","23.8","3"
"SAVE","2018","24.1","3"
"BOHICON","2018","24.1","3"
"COTONOU_AEROPORT","2018","26.5","3"
"KANDI_AEROPORT","2018","27.1","4"
"NATITINGOU","2018","24.6","4"
"PARAKOU_AEROPORT","2018","24","4"
"SAVE","2018","23.7","4"
"BOHICON","2018","24.3","4"
"COTONOU_AEROPORT","2018","27","4"
"KANDI_AEROPORT","2018","25.4","5"
"NATITINGOU","2018","23.5","5"
"PARAKOU_AEROPORT","2018","22.9","5"
"SAVE","2018","23","5"
"BOHICON","2018","23.3","5"
"COTONOU_AEROPORT","2018","25.1","5"
"KANDI_AEROPORT","2018","23.5","6"
"NATITINGOU","2018","22.2","6"
"PARAKOU_AEROPORT","2018","22.2","6"
"SAVE","2018","22.4","6"
"BOHICON","2018","22.8","6"
"COTONOU_AEROPORT","2018","25","6"
"KANDI_AEROPORT","2018","22.7","7"
"NATITINGOU","2018","21.7","7"
"PARAKOU_AEROPORT","2018","21.8","7"
"SAVE","2018","22.5","7"
"BOHICON","2018","22.9","7"
"COTONOU_AEROPORT","2018","24.9","7"
"KANDI_AEROPORT","2018","22.3","8"
"NATITINGOU","2018","21.4","8"
"PARAKOU_AEROPORT","2018","21.7","8"
"SAVE","2018","21.9","8"
"BOHICON","2018","22.4","8"
"COTONOU_AEROPORT","2018","24.6","8"
"KANDI_AEROPORT","2018","22.5","9"
"NATITINGOU","2018","21.4","9"
"PARAKOU_AEROPORT","2018","21.2","9"
"SAVE","2018","22.1","9"
"BOHICON","2018","22.8","9"
"COTONOU_AEROPORT","2018","24.7","9"
"KANDI_AEROPORT","2018","23.2","10"
"NATITINGOU","2018","21.5","10"
"PARAKOU_AEROPORT","2018","22","10"
"SAVE","2018","22.4","10"
"BOHICON","2018","23.2","10"
"COTONOU_AEROPORT","2018","24.7","10"
"KANDI_AEROPORT","2018","18.8","11"
"NATITINGOU","2018","17.3","11"
"PARAKOU_AEROPORT","2018","21.9","11"
"SAVE","2018","23.4","11"
"BOHICON","2018","23.8","11"
"COTONOU_AEROPORT","2018","25.8","11"
"KANDI_AEROPORT","2018","15.6","12"
"NATITINGOU","2018","14.2","12"
"PARAKOU_AEROPORT","2018","19.7","12"
"SAVE","2018","20.8","12"
"BOHICON","2018","23.2","12"
"COTONOU_AEROPORT","2018","25","12"
"KANDI_AEROPORT","2019","16.7","1"
"NATITINGOU","2019","15.8","1"
"PARAKOU_AEROPORT","2019","20.3","1"
"SAVE","2019","23","1"
"BOHICON","2019","23.7","1"
"COTONOU_AEROPORT","2019","25.9","1"
"KANDI_AEROPORT","2019","19.5","2"
"NATITINGOU","2019","17.9","2"
"PARAKOU_AEROPORT","2019","22.6","2"
"SAVE","2019","24.3","2"
"BOHICON","2019","25","2"
"COTONOU_AEROPORT","2019","26.4","2"
"KANDI_AEROPORT","2019","24.5","3"
"NATITINGOU","2019","22.9","3"
"PARAKOU_AEROPORT","2019","24","3"
"SAVE","2019","24.3","3"
"BOHICON","2019","24.5","3"
"COTONOU_AEROPORT","2019","27.2","3"
"KANDI_AEROPORT","2019","27.4","4"
"NATITINGOU","2019","24.9","4"
"PARAKOU_AEROPORT","2019","24.2","4"
"SAVE","2019","24.6","4"
"BOHICON","2019","24.9","4"
"COTONOU_AEROPORT","2019","27.4","4"
"KANDI_AEROPORT","2019","25.6","5"
"NATITINGOU","2019","23.9","5"
"PARAKOU_AEROPORT","2019","23.1","5"
"SAVE","2019","23.3","5"
"BOHICON","2019","24","5"
"COTONOU_AEROPORT","2019","25.8","5"
"KANDI_AEROPORT","2019","23.7","6"
"NATITINGOU","2019","22.2","6"
"PARAKOU_AEROPORT","2019","22.1","6"
"SAVE","2019","22.9","6"
"BOHICON","2019","23.2","6"
"COTONOU_AEROPORT","2019","25.1","6"
"KANDI_AEROPORT","2019","23","7"
"NATITINGOU","2019","21.3","7"
"PARAKOU_AEROPORT","2019","21.8","7"
"SAVE","2019","22.6","7"
"BOHICON","2019","23","7"
"COTONOU_AEROPORT","2019","24.7","7"
"KANDI_AEROPORT","2019","22.5","8"
"NATITINGOU","2019","21.9","8"
"PARAKOU_AEROPORT","2019","21.6","8"
"SAVE","2019","22","8"
"BOHICON","2019","22.7","8"
"COTONOU_AEROPORT","2019","25.1","8"
"KANDI_AEROPORT","2019","22.9","9"
"NATITINGOU","2019","21.5","9"
"PARAKOU_AEROPORT","2019","21.6","9"
"SAVE","2019","22.2","9"
"BOHICON","2019","22.9","9"
"COTONOU_AEROPORT","2019","24.5","9"
"KANDI_AEROPORT","2019","22.7","10"
"NATITINGOU","2019","21.3","10"
"PARAKOU_AEROPORT","2019","21.4","10"
"SAVE","2019","22.2","10"
"BOHICON","2019","22.8","10"
"COTONOU_AEROPORT","2019","24.1","10"
"KANDI_AEROPORT","2019","20.3","11"
"NATITINGOU","2019","18.6","11"
"PARAKOU_AEROPORT","2019","21.7","11"
"SAVE","2019","23.2","11"
"BOHICON","2019","23.5","11"
"COTONOU_AEROPORT","2019","25.3","11"
"KANDI_AEROPORT","2019","16.5","12"
"NATITINGOU","2019","14.2","12"
"PARAKOU_AEROPORT","2019","19.8","12"
"SAVE","2019","21.3","12"
"BOHICON","2019","22.8","12"
"COTONOU_AEROPORT","2019","25.1","12"
"KANDI_AEROPORT","2020","16.9","1"
"NATITINGOU","2020","16.7","1"
"PARAKOU_AEROPORT","2020","19.8","1"
"SAVE","2020","20.6","1"
"BOHICON","2020","21.8","1"
"COTONOU_AEROPORT","2020","23.8","1"
"KANDI_AEROPORT","2020","19.6","2"
"NATITINGOU","2020","17.5","2"
"PARAKOU_AEROPORT","2020","21.6","2"
"SAVE","2020","23.3","2"
"BOHICON","2020","24.1","2"
"COTONOU_AEROPORT","2020","25.7","2"
"KANDI_AEROPORT","2020","24.9","3"
"NATITINGOU","2020","23.4","3"
"PARAKOU_AEROPORT","2020","24.2","3"
"SAVE","2020","24.8","3"
"BOHICON","2020","25.1","3"
"COTONOU_AEROPORT","2020","27.1","3"
"KANDI_AEROPORT","2020","26.6","4"
"NATITINGOU","2020","24.7","4"
"PARAKOU_AEROPORT","2020","23.6","4"
"SAVE","2020","24.3","4"
"BOHICON","2020","24.5","4"
"COTONOU_AEROPORT","2020","26.1","4"
"KANDI_AEROPORT","2020","26.2","5"
"NATITINGOU","2020","23.4","5"
"PARAKOU_AEROPORT","2020","23.2","5"
"SAVE","2020","23.9","5"
"BOHICON","2020","24.1","5"
"COTONOU_AEROPORT","2020","26","5"
"KANDI_AEROPORT","2020","23.3","6"
"NATITINGOU","2020","21.8","6"
"PARAKOU_AEROPORT","2020","21.9","6"
"SAVE","2020","22.8","6"
"BOHICON","2020","23.2","6"
"COTONOU_AEROPORT","2020","24.6","6"
"KANDI_AEROPORT","2020","23","7"
"NATITINGOU","2020","21.6","7"
"PARAKOU_AEROPORT","2020","21.9","7"
"SAVE","2020","22.3","7"
"BOHICON","2020","22.6","7"
"COTONOU_AEROPORT","2020","24.7","7"
"KANDI_AEROPORT","2020","22.5","8"
"NATITINGOU","2020","21.2","8"
"PARAKOU_AEROPORT","2020","21.2","8"
"SAVE","2020","21.5","8"
"BOHICON","2020","21.9","8"
"COTONOU_AEROPORT","2020","24.2","8"
"KANDI_AEROPORT","2020","22.3","9"
"NATITINGOU","2020","21","9"
"PARAKOU_AEROPORT","2020","21.3","9"
"SAVE","2020","22.2","9"
"BOHICON","2020","22.2","9"
"COTONOU_AEROPORT","2020","24.3","9"
"KANDI_AEROPORT","2020","21.7","10"
"NATITINGOU","2020","20.1","10"
"PARAKOU_AEROPORT","2020","21.4","10"
"SAVE","2020","22.4","10"
"BOHICON","2020","23","10"
"COTONOU_AEROPORT","2020","25.1","10"
"KANDI_AEROPORT","2020","18.8","11"
"NATITINGOU","2020","16.7","11"
"PARAKOU_AEROPORT","2020","21.7","11"
"SAVE","2020","23.1","11"
"BOHICON","2020","23.7","11"
"COTONOU_AEROPORT","2020","25.7","11"
"KANDI_AEROPORT","2020","18.1","12"
"NATITINGOU","2020","16.2","12"
"PARAKOU_AEROPORT","2020","22.2","12"
"SAVE","2020","23","12"
"BOHICON","2020","24.2","12"
"COTONOU_AEROPORT","2020","26.1","12"
"KANDI_AEROPORT","2021","17.7","1"
"NATITINGOU","2021","16","1"
"PARAKOU_AEROPORT","2021","20.7","1"
"SAVE","2021","22.9","1"
"BOHICON","2021","23.8","1"
"COTONOU_AEROPORT","2021","25.9","1"
"KANDI_AEROPORT","2021","19.2","2"
"NATITINGOU","2021","18.1","2"
"PARAKOU_AEROPORT","2021","22.3","2"
"SAVE","2021","24.6","2"
"BOHICON","2021","25.2","2"
"COTONOU_AEROPORT","2021","26.8","2"
"KANDI_AEROPORT","2021","25.9","3"
