"commune","year","tmax","month"
"PARAKOU_AEROPORT","2017","29.8","7"
"SAVE","2017","32","7"
"BOHICON","2017","30.7","7"
"COTONOU_AEROPORT","2017","28.5","7"
"KANDI_AEROPORT","2017","30","8"
"NATITINGOU","2017","29.3","8"
"PARAKOU_AEROPORT","2017","28.2","8"
"SAVE","2017","29.9","8"
"BOHICON","2017","29.1","8"
"COTONOU_AEROPORT","2017","27.8","8"
"KANDI_AEROPORT","2017","30.7","9"
"NATITINGOU","2017","31","9"
"PARAKOU_AEROPORT","2017","29.3","9"
"SAVE","2017","31.2","9"
"BOHICON","2017","31.1","9"
"COTONOU_AEROPORT","2017","28.8","9"
"KANDI_AEROPORT","2017","34.5","10"
"NATITINGOU","2017","34.5","10"
"PARAKOU_AEROPORT","2017","32.5","10"
"SAVE","2017","34.2","10"
"BOHICON","2017","33.8","10"
"COTONOU_AEROPORT","2017","30.8","10"
"KANDI_AEROPORT","2017","35.8","11"
"NATITINGOU","2017","35.9","11"
"PARAKOU_AEROPORT","2017","34.9","11"
"SAVE","2017","36.5","11"
"BOHICON","2017","34.5","11"
"COTONOU_AEROPORT","2017","31.6","11"
"KANDI_AEROPORT","2017","33.5","12"
"NATITINGOU","2017","34.9","12"
"PARAKOU_AEROPORT","2017","34","12"
"SAVE","2017","35.8","12"
"BOHICON","2017","35.4","12"
"COTONOU_AEROPORT","2017","31.6","12"
"KANDI_AEROPORT","2018","32.7","1"
"NATITINGOU","2018","34.3","1"
"PARAKOU_AEROPORT","2018","34","1"
"SAVE","2018","35.8","1"
"BOHICON","2018","34.8","1"
"COTONOU_AEROPORT","2018","31.6","1"
"KANDI_AEROPORT","2018","37.4","2"
"NATITINGOU","2018","37.6","2"
"PARAKOU_AEROPORT","2018","37","2"
"SAVE","2018","37.2","2"
"BOHICON","2018","35.6","2"
"COTONOU_AEROPORT","2018","32.1","2"
"KANDI_AEROPORT","2018","39.3","3"
"NATITINGOU","2018","37.9","3"
"PARAKOU_AEROPORT","2018","37.6","3"
"SAVE","2018","36.5","3"
"BOHICON","2018","33.8","3"
"COTONOU_AEROPORT","2018","32.1","3"
"KANDI_AEROPORT","2018","39.8","4"
"NATITINGOU","2018","37","4"
"PARAKOU_AEROPORT","2018","36.2","4"
"SAVE","2018","34.7","4"
"BOHICON","2018","33.6","4"
"COTONOU_AEROPORT","2018","31.9","4"
"KANDI_AEROPORT","2018","36.5","5"
"NATITINGOU","2018","34.8","5"
"PARAKOU_AEROPORT","2018","33.7","5"
"SAVE","2018","33.4","5"
"BOHICON","2018","32.1","5"
"COTONOU_AEROPORT","2018","30.8","5"
"KANDI_AEROPORT","2018","32.5","6"
"NATITINGOU","2018","31.4","6"
"PARAKOU_AEROPORT","2018","31.6","6"
"SAVE","2018","32","6"
"BOHICON","2018","31.6","6"
"COTONOU_AEROPORT","2018","30.1","6"
"KANDI_AEROPORT","2018","31","7"
"NATITINGOU","2018","29.7","7"
"PARAKOU_AEROPORT","2018","29.9","7"
"SAVE","2018","30.2","7"
"BOHICON","2018","30.1","7"
"COTONOU_AEROPORT","2018","28.8","7"
"KANDI_AEROPORT","2018","29.6","8"
"NATITINGOU","2018","29.5","8"
"PARAKOU_AEROPORT","2018","29.4","8"
"SAVE","2018","30","8"
"BOHICON","2018","30.3","8"
"COTONOU_AEROPORT","2018","28.6","8"
"KANDI_AEROPORT","2018","31","9"
"NATITINGOU","2018","30.8","9"
"PARAKOU_AEROPORT","2018","30.1","9"
"SAVE","2018","30.8","9"
"BOHICON","2018","31.2","9"
"COTONOU_AEROPORT","2018","29.4","9"
"KANDI_AEROPORT","2018","34.3","10"
"NATITINGOU","2018","33.2","10"
"PARAKOU_AEROPORT","2018","32.3","10"
"SAVE","2018","32.1","10"
"BOHICON","2018","32","10"
"COTONOU_AEROPORT","2018","30.5","10"
"KANDI_AEROPORT","2018","36","11"
"NATITINGOU","2018","35.4","11"
"PARAKOU_AEROPORT","2018","34.8","11"
"SAVE","2018","33.9","11"
"BOHICON","2018","33.9","11"
"COTONOU_AEROPORT","2018","31.8","11"
"KANDI_AEROPORT","2018","32.7","12"
"NATITINGOU","2018","33.8","12"
"PARAKOU_AEROPORT","2018","34.2","12"
"SAVE","2018","35.3","12"
"BOHICON","2018","35.2","12"
"COTONOU_AEROPORT","2018","32.6","12"
"KANDI_AEROPORT","2019","34.5","1"
"NATITINGOU","2019","35.2","1"
"PARAKOU_AEROPORT","2019","35.5","1"
"SAVE","2019","36.6","1"
"BOHICON","2019","35.7","1"
"COTONOU_AEROPORT","2019","32.4","1"
"KANDI_AEROPORT","2019","36","2"
"NATITINGOU","2019","36.4","2"
"PARAKOU_AEROPORT","2019","36.6","2"
"SAVE","2019","37.3","2"
"BOHICON","2019","35.7","2"
"COTONOU_AEROPORT","2019","32.2","2"
"KANDI_AEROPORT","2019","39.8","3"
"NATITINGOU","2019","38.1","3"
"PARAKOU_AEROPORT","2019","37.7","3"
"SAVE","2019","36.7","3"
"BOHICON","2019","34.8","3"
"COTONOU_AEROPORT","2019","32.6","3"
"KANDI_AEROPORT","2019","40.4","4"
"NATITINGOU","2019","36.7","4"
"PARAKOU_AEROPORT","2019","36.6","4"
"SAVE","2019","36.2","4"
"BOHICON","2019","34.4","4"
"COTONOU_AEROPORT","2019","32.8","4"
"KANDI_AEROPORT","2019","36","5"
"NATITINGOU","2019","34.5","5"
"PARAKOU_AEROPORT","2019","33.8","5"
"SAVE","2019","33.2","5"
"BOHICON","2019","32.8","5"
"COTONOU_AEROPORT","2019","31.6","5"
"KANDI_AEROPORT","2019","34","6"
"NATITINGOU","2019","32","6"
"PARAKOU_AEROPORT","2019","31.1","6"
"SAVE","2019","31.4","6"
"BOHICON","2019","31.3","6"
"COTONOU_AEROPORT","2019","29.5","6"
"KANDI_AEROPORT","2019","31.5","7"
"NATITINGOU","2019","29.8","7"
"PARAKOU_AEROPORT","2019","30.1","7"
"SAVE","2019","30.5","7"
"BOHICON","2019","29.9","7"
"COTONOU_AEROPORT","2019","28.6","7"
"KANDI_AEROPORT","2019","30.6","8"
"NATITINGOU","2019","29.2","8"
"PARAKOU_AEROPORT","2019","29.3","8"
"SAVE","2019","29.8","8"
"BOHICON","2019","30.1","8"
"COTONOU_AEROPORT","2019","29","8"
"KANDI_AEROPORT","2019","32.3","9"
"NATITINGOU","2019","31.1","9"
"PARAKOU_AEROPORT","2019","30.1","9"
"SAVE","2019","30.4","9"
"BOHICON","2019","30.2","9"
"COTONOU_AEROPORT","2019","28.8","9"
"KANDI_AEROPORT","2019","32.4","10"
"NATITINGOU","2019","31.5","10"
"PARAKOU_AEROPORT","2019","30.5","10"
"SAVE","2019","30.4","10"
"BOHICON","2019","29.9","10"
"COTONOU_AEROPORT","2019","28.9","10"
"KANDI_AEROPORT","2019","36.3","11"
"NATITINGOU","2019","36","11"
"PARAKOU_AEROPORT","2019","34.4","11"
"SAVE","2019","33.6","11"
"BOHICON","2019","33.8","11"
"COTONOU_AEROPORT","2019","31.6","11"
"KANDI_AEROPORT","2019","34.1","12"
"NATITINGOU","2019","35","12"
"PARAKOU_AEROPORT","2019","34.6","12"
"SAVE","2019","35.3","12"
"BOHICON","2019","35.2","12"
"COTONOU_AEROPORT","2019","32.8","12"
"KANDI_AEROPORT","2020","33.1","1"
"NATITINGOU","2020","34.3","1"
"PARAKOU_AEROPORT","2020","34.4","1"
"SAVE","2020","35.9","1"
"BOHICON","2020","35.8","1"
"COTONOU_AEROPORT","2020","32.7","1"
"KANDI_AEROPORT","2020","35.1","2"
"NATITINGOU","2020","35.8","2"
"PARAKOU_AEROPORT","2020","36.7","2"
"SAVE","2020","38.4","2"
"BOHICON","2020","37.8","2"
"COTONOU_AEROPORT","2020","33.5","2"
"KANDI_AEROPORT","2020","40.3","3"
"NATITINGOU","2020","38.4","3"
"PARAKOU_AEROPORT","2020","38","3"
"SAVE","2020","37.4","3"
"BOHICON","2020","36.8","3"
"COTONOU_AEROPORT","2020","31.6","3"
"KANDI_AEROPORT","2020","39.6","4"
"NATITINGOU","2020","36.4","4"
"PARAKOU_AEROPORT","2020","35.6","4"
"SAVE","2020","35.6","4"
"BOHICON","2020","35.2","4"
"COTONOU_AEROPORT","2020","31.8","4"
"KANDI_AEROPORT","2020","37.5","5"
"NATITINGOU","2020","34.6","5"
"PARAKOU_AEROPORT","2020","34.3","5"
"SAVE","2020","34.4","5"
"BOHICON","2020","33.3","5"
"COTONOU_AEROPORT","2020","31.5","5"
"KANDI_AEROPORT","2020","33.5","6"
"NATITINGOU","2020","31.8","6"
"PARAKOU_AEROPORT","2020","31.4","6"
"SAVE","2020","31.8","6"
"BOHICON","2020","31.1","6"
"COTONOU_AEROPORT","2020","29.8","6"
"KANDI_AEROPORT","2020","31.3","7"
"NATITINGOU","2020","29.8","7"
"PARAKOU_AEROPORT","2020","29.4","7"
"SAVE","2020","29.3","7"
"BOHICON","2020","29.4","7"
"COTONOU_AEROPORT","2020","28.3","7"
"KANDI_AEROPORT","2020","29.9","8"
"NATITINGOU","2020","29.5","8"
"PARAKOU_AEROPORT","2020","29.1","8"
"SAVE","2020","30.5","8"
"BOHICON","2020","30.1","8"
"COTONOU_AEROPORT","2020","28.2","8"
"KANDI_AEROPORT","2020","31","9"
"NATITINGOU","2020","30.2","9"
"PARAKOU_AEROPORT","2020","29.8","9"
"SAVE","2020","29.9","9"
"BOHICON","2020","30","9"
"COTONOU_AEROPORT","2020","28.8","9"
"KANDI_AEROPORT","2020","33.7","10"
"NATITINGOU","2020","33.2","10"
"PARAKOU_AEROPORT","2020","32","10"
"SAVE","2020","32.3","10"
"BOHICON","2020","32.2","10"
"COTONOU_AEROPORT","2020","30.1","10"
"KANDI_AEROPORT","2020","35","11"
"NATITINGOU","2020","35.2","11"
"PARAKOU_AEROPORT","2020","34.9","11"
"SAVE","2020","35.5","11"
"BOHICON","2020","35.2","11"
"COTONOU_AEROPORT","2020","31.7","11"
"KANDI_AEROPORT","2020","35.5","12"
"NATITINGOU","2020","36","12"
"PARAKOU_AEROPORT","2020","35.6","12"
"SAVE","2020","36.5","12"
"BOHICON","2020","35.3","12"
"COTONOU_AEROPORT","2020","31.9","12"
"KANDI_AEROPORT","2021","35.6","1"
"NATITINGOU","2021","36","1"
"PARAKOU_AEROPORT","2021","36","1"
"SAVE","2021","37.3","1"
"BOHICON","2021","36.2","1"
"COTONOU_AEROPORT","2021","31.7","1"
"KANDI_AEROPORT","2021","35.8","2"
"NATITINGOU","2021","36.2","2"
"PARAKOU_AEROPORT","2021","36.9","2"
"SAVE","2021","38","2"
"BOHICON","2021","37.1","2"
"COTONOU_AEROPORT","2021","32.5","2"
"KANDI_AEROPORT","2021","39.1","3"
"NATITINGOU","2021","37.6","3"
"PARAKOU_AEROPORT","2021","37.6","3"
"SAVE","2021","36.2","3"
"BOHICON","2021","35.6","3"
"COTONOU_AEROPORT","2021","31.9","3"
"KANDI_AEROPORT","2021","40.8","4"
"NATITINGOU","2021","37.9","4"
"PARAKOU_AEROPORT","2021","37","4"
"SAVE","2021","35.3","4"
"BOHICON","2021","34.8","4"
"COTONOU_AEROPORT","2021","32.2","4"
"KANDI_AEROPORT","2021","38.4","5"
"NATITINGOU","2021","35.8","5"
"PARAKOU_AEROPORT","2021","34.6","5"
"SAVE","2021","34.4","5"
"BOHICON","2021","34.6","5"
"COTONOU_AEROPORT","2021","31.4","5"
"KANDI_AEROPORT","2021","34.6","6"
"NATITINGOU","2021","32.9","6"
"PARAKOU_AEROPORT","2021","32.1","6"
"SAVE","2021","32","6"
"BOHICON","2021","32","6"
"COTONOU_AEROPORT","2021","30.5","6"
"KANDI_AEROPORT","2021","31.6","7"
"NATITINGOU","2021","30","7"
"PARAKOU_AEROPORT","2021","30.4","7"
"SAVE","2021","30.6","7"
"BOHICON","2021","30.6","7"
"COTONOU_AEROPORT","2021","29.1","7"
"KANDI_AEROPORT","2021","30.3","8"
"NATITINGOU","2021","29.4","8"
"PARAKOU_AEROPORT","2021","29.7","8"
"SAVE","2021","30.8","8"
"BOHICON","2021","30.6","8"
"COTONOU_AEROPORT","2021","29","8"
"KANDI_AEROPORT","2021","31.2","9"
"NATITINGOU","2021","31","9"
"PARAKOU_AEROPORT","2021","30.3","9"
"SAVE","2021","31.1","9"
"BOHICON","2021","30.9","9"
"COTONOU_AEROPORT","2021","29","9"
"KANDI_AEROPORT","2021","35.7","10"
"NATITINGOU","2021","32.4","10"
"PARAKOU_AEROPORT","2021","32.8","10"
"SAVE","2021","32.9","10"
"BOHICON","2021","32.5","10"
"COTONOU_AEROPORT","2021","30.7","10"
"KANDI_AEROPORT","2021","37.7","11"
"NATITINGOU","2021","35.3","11"
"PARAKOU_AEROPORT","2021","35","11"
"SAVE","2021","34.4","11"
"BOHICON","2021","33.5","11"
"COTONOU_AEROPORT","2021","31.6","11"
"KANDI_AEROPORT","2021","34.2","12"
"NATITINGOU","2021","34.8","12"
"PARAKOU_AEROPORT","2021","34.9","12"
"SAVE","2021","35.9","12"
"BOHICON","2021","35.4","12"
"COTONOU_AEROPORT","2021","32.8","12"
"KANDI_AEROPORT","2022","32.3","1"
"NATITINGOU","2022","33.6","1"
"PARAKOU_AEROPORT","2022","34.1","1"
"SAVE","2022","36.4","1"
"BOHICON","2022","35.9","1"
"COTONOU_AEROPORT","2022","32.7","1"
"KANDI_AEROPORT","2022","36.4","2"
"NATITINGOU","2022","36.9","2"
"PARAKOU_AEROPORT","2022","37","2"
"SAVE","2022","38.1","2"
"BOHICON","2022","37.1","2"
"COTONOU_AEROPORT","2022","31.8","2"
"KANDI_AEROPORT","2022","39.9","3"
"NATITINGOU","2022","38.1","3"
"PARAKOU_AEROPORT","2022","38.2","3"
"SAVE","2022","37.1","3"
"BOHICON","2022","36.6","3"
"COTONOU_AEROPORT","2022","32.2","3"
"KANDI_AEROPORT","2022","39.8","4"
"NATITINGOU","2022","35.4","4"
"PARAKOU_AEROPORT","2022","35.4","4"
"SAVE","2022","33.7","4"
"BOHICON","2022","33.1","4"
"COTONOU_AEROPORT","2022","31.2","4"
"KANDI_AEROPORT","2022","37.9","5"
"NATITINGOU","2022","33.8","5"
"PARAKOU_AEROPORT","2022","33.3","5"
"SAVE","2022","33.4","5"
"BOHICON","2022","32.4","5"
"COTONOU_AEROPORT","2022","31.2","5"
"KANDI_AEROPORT","2022","34.1","6"
"NATITINGOU","2022","31.7","6"
"PARAKOU_AEROPORT","2022","31.3","6"
"SAVE","2022","31.5","6"
